iso3,var_short,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,var_long,residence
AFG,s_imp_r,0.5963163633609238,0.5386472724124843,7.916568070408133,10.340311483218557,0.014742363046121013,1,-30.26015195881472,66.52030391762943,67.1119776496381,438.7043500938389,7,9,Improved,rural
AFG,s_imp_u,0.8330922341633044,0.809248267615205,6.0002044935046355,34.939330772954435,5.928957261034703e-4,1,-27.76567382966034,61.53134765932068,62.12302139132934,252.01717774711253,7,9,Improved,urban
AFG,s_od_r,0.3480027465835792,0.2393365376808424,6.075979095741,3.202492753704732,0.12372977605863922,1,-24.635525129939467,55.27105025987893,55.509374884918444,221.5051318312897,6,8,Open defecation,rural
AFG,s_od_u,0.3226721809187135,0.20978421107183243,3.85015537164202,2.8583398333443273,0.14185618505642275,1,-20.9856880058787,47.9713760117574,48.20970063679691,88.9421783147034,6,8,Open defecation,urban
AFG,s_sep_r,0.0732774866927546,-0.23563001774299375,0.9757296548788611,0.2372149774302296,0.6595932850906407,1,-5.694779987155066,17.38955997431013,16.217873711612434,2.8561450782300644,3,5,Septic,rural
AFG,s_sep_u,0.0223123779182143,-0.30358349610904756,7.4980989625974654,0.06846474501959428,0.8105216719280766,1,-15.890876190404509,37.78175238080902,36.61006611811132,168.6644641587156,3,5,Septic,urban
AFG,s_sew_r,0.042601806953712205,-0.19674774130785977,0.8857329777777707,0.17798992002757003,0.6947934726029517,1,-6.569197355197693,19.13839471039539,18.513673118079552,3.138091631692307,4,6,Sewer,rural
AFG,s_sew_u,0.017073554110647652,-0.22865805736169031,3.8385246205880423,0.0694804954411395,0.8051167487033929,1,-15.367764351196923,36.73552870239385,36.110807110078014,58.9370850514423,4,6,Sewer,urban
AFG,s_shared_r,4.594667357283089e-6,-0.24999425666580333,5.904008939937119,1.837875387339285e-5,0.9967847286448173,1,-17.951025483987642,41.902050967975285,41.27732937565945,139.42928625142972,4,6,Shared,rural
AFG,s_shared_u,0.031257720720520916,-0.21092784909934892,11.673804026434459,0.12906516578906602,0.7375653623948203,1,-22.041320031654223,50.082640063308446,49.45791847099261,545.1108017903895,4,6,Shared,urban
AGO,s_imp_r,0.9807132995524486,0.9758916244405607,0.9836285606551393,203.39680231347293,1.403979367714198e-4,1,-7.1981942816914,20.3963885633828,19.771666971066963,3.8701005813460037,4,6,Improved,rural
AGO,s_imp_u,0.658086248307819,0.5726078103847738,5.905579539072769,7.698856744437501,0.0500903296337826,1,-17.95262140663748,41.90524281327496,41.28052122095912,139.50347876925977,4,6,Improved,urban
AGO,s_od_r,0.1670304138686193,-0.11062611484184082,9.017011937399136,0.6015720741175091,0.4945078814767161,1,-16.81319364857798,39.62638729715596,38.45470103445826,243.91951283759556,3,5,Open defecation,rural
AGO,s_od_u,0.4624637424913539,0.28328498998847196,7.045994340147195,2.581018876576425,0.20650718674152313,1,-15.579924989843214,37.15984997968643,35.98816371698873,148.93810872415892,3,5,Open defecation,urban
AGO,s_sep_r,0.7235614089551495,0.6544517611939369,6.637349051209916,10.469759757063098,0.03180320305620132,1,-18.6535117418766,43.3070234837532,42.68230189143736,176.21760971038867,4,6,Septic,rural
AGO,s_sep_u,0.7776130988296479,0.7220163735370599,14.333237123252866,13.986670882813968,0.02012324158869682,1,-23.272722562933918,52.545445125867836,51.920723533552,821.7667457255764,4,6,Septic,urban
AGO,s_sew_r,0.0013436333040850088,-0.33154182226121987,1.2597060467089798,0.004036323250600587,0.9533390891008315,1,-6.972020594022716,19.944041188045432,18.772354925347734,4.760577972345499,3,5,Sewer,rural
AGO,s_sew_u,0.04260392396133547,-0.2765281013848859,6.385211155304623,0.13349936884308342,0.7390724197660483,1,-15.087551403923767,36.17510280784754,35.00341654514983,122.31276449347979,3,5,Sewer,urban
AIA,s_imp_u,0.8819829845692407,0.8229744768538612,1.0514790109022418,14.946708851262242,0.060860508460409385,1,-4.490250791140152,14.980501582280304,13.139384665639977,2.2112162207359134,2,4,Improved,urban
AIA,s_od_u,1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2,Open defecation,urban
ALB,s_imp_r,0.48945205164419264,0.4327245018268807,4.537224710122783,8.62811902189407,0.016557489038922242,1,-31.140105846065463,68.28021169213093,69.47389751052604,185.27767263133893,9,11,Improved,rural
ALB,s_imp_u,0.23461202054615513,0.14956891171795017,0.442605712200273,2.7587422870451888,0.13109227878485247,1,-5.538799640392542,17.077599280785083,18.271285099180197,1.7630983482507983,9,11,Improved,urban
ALB,s_od_r,0.4293832964384633,0.144074944657695,0.6281716853617618,1.504979765781278,0.3447265483491161,1,-2.4296927095283585,10.859385419056718,9.018268502416388,0.7891993325804725,2,4,Open defecation,rural
ALB,s_od_u,0.5660286733666686,0.34904301005000293,0.18518768746245312,2.608599410278156,0.24765122890598887,1,2.456081993758288,1.0878360124834243,-0.7532809041569042,0.06858895917538244,2,4,Open defecation,urban
ALB,s_sep_r,0.8323906927252995,0.6647813854505991,4.384356627858189,4.966255790086089,0.26852468851142536,1,-7.043025848409558,20.086051696819116,17.381888562823445,19.22258304024403,1,3,Septic,rural
ALB,s_sep_u,0.103756600807623,-0.7924867983847541,2.2271065975973077,0.11576832911809466,0.7912139875597726,1,-5.011006926021544,16.022013852043088,13.317850718047417,4.9600037970614554,1,3,Septic,urban
ALB,s_sew_r,0.07803152333089404,-0.843936953338212,16.723578225303985,0.08463578235647153,0.8197678748895433,1,-11.059355946963029,28.118711893926058,25.414548759930387,279.67806865786156,1,3,Sewer,rural
